Time, Quadrant Number, Ball Colour, Event Type
0.20, 3, red, Entry
0.30, 1, red, Exit
0.33, 3, red, Exit
0.43, 2, red, Exit
0.50, 3, red, Exit
0.80, 1, red, Exit
0.83, 3, red, Exit
0.93, 2, red, Exit
0.97, 3, red, Exit
1.00, 2, red, Exit
1.33, 1, red, Exit
2.00, 4, red, Exit
2.10, 3, red, Exit
2.10, 2, red, Exit
2.43, 3, red, Exit
2.47, 2, red, Exit
2.77, 2, white, Entry
2.87, 4, white, Exit
2.87, 2, white, Exit
2.87, 1, white, Exit
2.90, 4, white, Exit
2.90, 1, white, Exit
2.90, 2, white, Exit
2.93, 4, white, Exit
2.93, 2, white, Exit
2.93, 4, white, Exit
2.97, 2, white, Exit
2.97, 4, white, Exit
3.00, 2, white, Exit
3.00, 4, white, Exit
3.03, 2, white, Exit
3.03, 4, white, Exit
3.07, 2, white, Exit
3.07, 4, white, Exit
3.10, 2, white, Exit
3.10, 4, white, Exit
3.13, 2, white, Exit
3.17, 1, white, Exit
3.17, 2, white, Exit
3.57, 3, red, Exit
3.57, 1, red, Exit
3.60, 3, red, Exit
4.27, 2, red, Exit
4.33, 3, red, Exit
4.37, 2, red, Exit
4.40, 3, red, Exit
4.80, 1, red, Exit
4.87, 3, red, Exit
4.97, 4, red, Exit
4.97, 3, red, Exit
5.07, 4, red, Exit
5.13, 3, red, Exit
5.20, 2, red, Exit
5.33, 4, red, Exit
5.33, 1, red, Exit
5.37, 4, red, Exit
5.47, 3, red, Exit
5.47, 4, red, Exit
5.63, 2, red, Exit
5.63, 4, white, Exit
5.63, 2, white, Exit
5.67, 4, white, Exit
5.67, 2, white, Exit
5.70, 4, white, Exit
5.70, 2, white, Exit
5.73, 4, white, Exit
5.73, 2, white, Exit
5.77, 4, white, Exit
5.77, 2, white, Exit
5.80, 3, red, Exit
5.80, 4, white, Exit
5.80, 2, white, Exit
5.83, 2, red, Exit
5.83, 4, white, Exit
5.83, 2, white, Exit
5.87, 3, red, Exit
5.87, 4, white, Exit
5.87, 2, white, Exit
6.03, 1, red, Exit
6.07, 3, red, Exit
6.33, 4, white, Exit
6.37, 2, red, Exit
6.47, 3, red, Exit
6.50, 1, red, Exit
6.60, 3, red, Exit
6.63, 1, red, Exit
6.67, 3, red, Exit
6.77, 2, white, Exit
6.87, 1, red, Exit
6.93, 4, white, Exit
6.97, 4, red, Exit
7.07, 3, red, Exit
8.03, 4, red, Exit
8.03, 2, red, Exit
8.27, 3, red, Exit
8.27, 2, red, Exit
8.30, 3, red, Exit
8.33, 2, red, Exit
8.40, 3, red, Exit
8.50, 2, red, Exit
8.53, 3, red, Exit
8.77, 1, red, Exit
8.80, 3, red, Exit
9.37, 2, white, Exit
9.40, 4, white, Exit
9.40, 2, white, Exit
9.43, 4, white, Exit
9.43, 2, white, Exit
9.47, 2, red, Exit
9.47, 4, white, Exit
9.47, 2, white, Exit
9.50, 4, white, Exit
9.50, 2, white, Exit
9.53, 4, white, Exit
9.53, 2, white, Exit
9.60, 4, white, Exit
9.60, 2, white, Exit
9.63, 3, red, Exit
9.63, 4, white, Exit
9.63, 2, white, Exit
9.70, 4, white, Exit
9.70, 2, white, Exit
9.97, 1, red, Exit
9.97, 4, white, Exit
9.97, 2, white, Exit
10.00, 3, red, Exit
10.03, 2, red, Exit
10.03, 4, white, Exit
10.03, 2, white, Exit
10.07, 4, white, Exit
10.07, 2, white, Exit
10.10, 4, white, Exit
10.10, 2, white, Exit
10.13, 4, white, Exit
10.13, 2, white, Exit
10.17, 4, white, Exit
10.17, 2, white, Exit
10.20, 4, white, Exit
10.20, 2, white, Exit
10.23, 4, white, Exit
10.23, 2, white, Exit
10.27, 4, white, Exit
10.27, 2, white, Exit
10.30, 4, white, Exit
10.30, 2, white, Exit
10.33, 4, white, Exit
10.33, 2, white, Exit
10.60, 3, red, Exit
10.70, 1, red, Exit
10.73, 3, red, Exit
11.00, 4, white, Exit
11.47, 1, red, Exit
11.50, 3, red, Exit
11.83, 2, red, Exit
12.07, 4, red, Exit
12.07, 1, red, Exit
12.10, 4, red, Exit
12.13, 2, red, Exit
12.17, 4, red, Exit
12.23, 2, red, Exit
12.27, 4, red, Exit
12.27, 3, red, Exit
12.30, 4, red, Exit
12.30, 2, red, Exit
12.33, 3, red, Exit
12.33, 4, red, Exit
12.37, 3, red, Exit
12.37, 4, red, Exit
12.37, 2, red, Exit
12.37, 2, white, Exit
12.40, 3, red, Exit
12.40, 4, red, Exit
12.40, 4, white, Exit
12.40, 2, white, Exit
12.43, 3, red, Exit
12.43, 4, red, Exit
12.47, 2, red, Exit
12.47, 4, white, Exit
12.47, 2, white, Exit
12.50, 4, red, Exit
12.50, 2, red, Exit
